0.019457,0.0016795,0.0085548,0.015216,0.025932,0.062748,12-19,14 day delay,Pop immunity (Scenario 2)
0.018772,0.0017233,0.0080965,0.014681,0.025201,0.06207,12-19,14 day delay,Pop immunity (Scenario 2)
0.018381,0.0018335,0.0080595,0.014318,0.02431,0.06154,12-19,14 day delay,Pop immunity (Scenario 2)
0.018262,0.002098,0.0079802,0.014241,0.02412,0.061286,12-19,14 day delay,Pop immunity (Scenario 2)
0.018483,0.0025269,0.0083079,0.014527,0.024238,0.061394,12-19,14 day delay,Pop immunity (Scenario 2)
0.019364,0.0035214,0.0093344,0.015365,0.02492,0.062183,12-19,14 day delay,Pop immunity (Scenario 2)
0.02882,0.013017,0.018934,0.02483,0.03424,0.070939,12-19,14 day delay,Pop immunity (Scenario 2)
0.063511,0.04732,0.054187,0.060618,0.067882,0.1034,12-19,14 day delay,Pop immunity (Scenario 2)
0.14165,0.1222,0.13264,0.1395,0.14692,0.18269,12-19,14 day delay,Pop immunity (Scenario 2)
0.24773,0.22127,0.23697,0.24642,0.25553,0.28434,12-19,14 day delay,Pop immunity (Scenario 2)
0.29142,0.26349,0.28009,0.29017,0.30049,0.33064,12-19,14 day delay,Pop immunity (Scenario 2)
0.30756,0.2793,0.29624,0.30659,0.31703,0.34738,12-19,14 day delay,Pop immunity (Scenario 2)
0.3213,0.29308,0.31017,0.32012,0.33088,0.36121,12-19,14 day delay,Pop immunity (Scenario 2)
0.33359,0.30533,0.32267,0.33317,0.34337,0.37361,12-19,14 day delay,Pop immunity (Scenario 2)
0.3421,0.31371,0.33122,0.34139,0.35207,0.38236,12-19,14 day delay,Pop immunity (Scenario 2)
0.34766,0.319,0.33624,0.34697,0.35749,0.38844,12-19,14 day delay,Pop immunity (Scenario 2)
0.35096,0.3219,0.33929,0.3504,0.36077,0.39195,12-19,14 day delay,Pop immunity (Scenario 2)
0.35375,0.32422,0.34243,0.35343,0.36343,0.39488,12-19,14 day delay,Pop immunity (Scenario 2)
0.35481,0.3244,0.34373,0.35414,0.36445,0.39619,12-19,14 day delay,Pop immunity (Scenario 2)
0.35587,0.32372,0.34441,0.35505,0.3656,0.39747,12-19,14 day delay,Pop immunity (Scenario 2)
0.3577,0.32463,0.34595,0.35706,0.3677,0.39952,12-19,14 day delay,Pop immunity (Scenario 2)
0.35964,0.32644,0.34807,0.35892,0.36929,0.40167,12-19,14 day delay,Pop immunity (Scenario 2)
0.36285,0.33045,0.35096,0.36229,0.37239,0.40532,12-19,14 day delay,Pop immunity (Scenario 2)
0.36842,0.33656,0.35603,0.36828,0.37817,0.41099,12-19,14 day delay,Pop immunity (Scenario 2)
0.37811,0.34523,0.3655,0.3778,0.38804,0.42068,12-19,14 day delay,Pop immunity (Scenario 2)
0.38135,0.34821,0.36757,0.38156,0.39102,0.42422,12-19,14 day delay,Pop immunity (Scenario 2)
0.38314,0.34963,0.36867,0.38268,0.39312,0.42655,12-19,14 day delay,Pop immunity (Scenario 2)
0.38428,0.34837,0.36891,0.38389,0.39468,0.42757,12-19,14 day delay,Pop immunity (Scenario 2)
0.38629,0.34859,0.37067,0.38632,0.39782,0.42983,12-19,14 day delay,Pop immunity (Scenario 2)
0.39136,0.35225,0.37579,0.39136,0.40368,0.43417,12-19,14 day delay,Pop immunity (Scenario 2)
0.3975,0.35805,0.38221,0.39724,0.41,0.44034,12-19,14 day delay,Pop immunity (Scenario 2)
0.39843,0.35893,0.38321,0.3981,0.41099,0.44125,12-19,14 day delay,Pop immunity (Scenario 2)
